,model,grounding,generated_text,label
590,dodeca,"The Vancouver Grizzlies were a Canadian professional basketball team based in Vancouver, British Columbia.",i know that they are a canadian basketball team .,1
591,memnet,"The Vancouver Grizzlies were a Canadian professional basketball team based in Vancouver, British Columbia.","yes , they are a canadian professional basketball team based in vancouver .",1
592,dodeca,"The Memphis Grizzlies are an American professional basketball team based in Memphis, Tennessee.","yes , they are based out of memphis tennessee .",1
593,memnet,"The Memphis Grizzlies are an American professional basketball team based in Memphis, Tennessee.","i ' m not sure , but they are based in tennessee .",1
594,dodeca,"Starbucks was founded in Seattle, Washington in 1971.",i ' m not sure but they were founded in 1971,1
595,memnet,"Starbucks was founded in Seattle, Washington in 1971.","starbucks was founded in 1971 in seattle , washington .",1
596,dodeca,Asthma is a common long-term inflammatory disease of the airways of the lungs.,"well , it ' s a common inflammatory disease .",1
597,memnet,Asthma is a common long-term inflammatory disease of the airways of the lungs.,"yes , it is a viral disease of the lungs .",0
598,dodeca,Event arrangers called gamemasters decide the setting and rules to be used and facilitate play.,"i ' m not sure , but i do know that gamemasters decides the rules and set of the game .",1
599,memnet,Event arrangers called gamemasters decide the setting and rules to be used and facilitate play.,"i ' m not sure , but i do know that the rules are governed by rugby federation .",0
600,dodeca,Music is an art form and cultural activity whose medium is sound organized in time.,i can see where you ' re coming from . i think it ' s interesting that music is a form of art and a cultural activity .,1
601,memnet,Music is an art form and cultural activity whose medium is sound organized in time.,i agree . it ' s a form of cultural activity that has evolved over time .,0
602,dodeca,"It was formed on July 1, 2013, after completing a £2.4 billion merger between Bertelsmann and Pearson.","it ' s been around since july 1st , 2013 .",1
603,memnet,"It was formed on July 1, 2013, after completing a £2.4 billion merger between Bertelsmann and Pearson.",that ' s awesome ! i ' ve never heard of it . it ' s been around since 1979 .,0
604,dodeca,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",i ' ve heard of them . they ' re a canadian band .,1
605,memnet,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).","yes , they are a great band . they were formed in 2006 .",0
606,dodeca,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).","i ' d love to , i ' ve seen them a few times in concert before and they were great . i ' m sure i ' ll see them again one day .",1
607,memnet,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).","i ' m not sure , but i do know they are an american rock band .",0
608,dodeca,Cultural reactions have varied from ridicule to admiration; many common stereotypes exist regarding redheads and they are often portrayed as fiery-tempered.,haha ! i love her ! i think she is very fiery and fiery tempered,1
609,memnet,Cultural reactions have varied from ridicule to admiration; many common stereotypes exist regarding redheads and they are often portrayed as fiery-tempered.,"i ' m not sure , but i do know they have a strong personality clash .",0
610,dodeca,Peanut butter is popular in many countries.,i like peanut butter too . it ' s popular in a lot of countries .,1
611,memnet,Peanut butter is popular in many countries.,peanut butter is the most popular item in the united states .,0
612,dodeca,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",i ' m sure you would . there are a lot of people who practice yoga from india .,1
613,memnet,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",yoga gurus introduced yoga to india in the late 19th century .,0
614,dodeca,"Lactose intolerance is a condition in which people have symptoms due to the decreased ability to digest lactose, a sugar found in milk products.",i know a little bit about it . it ' s a condition where people can ' t digest milk .,1
615,memnet,"Lactose intolerance is a condition in which people have symptoms due to the decreased ability to digest lactose, a sugar found in milk products.","no , i don ' t , but i do know that it ' s the ability to digest lactose .",0
616,dodeca,Sephora is a French chain of cosmetics stores founded in 1969.,me too ! it ' s been around since 1969 .,1
617,memnet,Sephora is a French chain of cosmetics stores founded in 1969.,me too ! it ' s an american fashion company founded in 1854 .,0
618,dodeca,A person who works with upholstery is called an upholsterer; an apprentice upholsterer is sometimes called an outsider or trimmer.,i work with it . i ' m an apprentice .,0
619,memnet,A person who works with upholstery is called an upholsterer; an apprentice upholsterer is sometimes called an outsider or trimmer.,an upholsterer is a person who specializes in dentistry .,0
620,dodeca,Magic: The Gathering is a trading card game and a digital collectible card game.,me too ! i love trading card games and collectable card games .,1
621,memnet,Magic: The Gathering is a trading card game and a digital collectible card game.,magic is one of the oldest trading card games in the world .,0
622,dodeca,"In constructed, players created decks from cards they own, usually 60 cards with no more than 4 of any given card.",in constructed players create decks that have 60 cards .,1
623,memnet,"In constructed, players created decks from cards they own, usually 60 cards with no more than 4 of any given card.",yes it is . it is played on 52 cards .,0
624,dodeca,"Besides sparking controversy, her works have been praised by music critics.","i know a little bit about madonna , but i don ' t know much about her music .",1
625,memnet,"Besides sparking controversy, her works have been praised by music critics.",she has been known for her influence since the 1990s .,0
626,dodeca,"The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls and packs that donkeys carried.",yes it is an authentic food . the name ' burritto ' is applied to it,1
627,memnet,"The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls and packs that donkeys carried.","i ' m not sure , but i do know that the word "" taco "" originated from germany .",0
628,dodeca,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",it is located in the seventh largest country in area,0
629,memnet,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",it ' s the seventh largest country in the us and the seventh - largest country by area .,0
630,dodeca,Fashion designers attempt to design clothes which are functional as well as aesthetically pleasing.,that ' s cool . fashion designers try to design clothing which is functional and pleasing as well .,1
631,memnet,Fashion designers attempt to design clothes which are functional as well as aesthetically pleasing.,"yes , fashion design is also known as interior design .",0
632,dodeca,"The show's first episode was aired on 17 August 2010, with its first four series broadcast on BBC Two, until its growing popularity led the BBC to move it to BBC One for the next three series.",i do too . the first episode aired on august 2010 and it was on bbc 2 .,1
633,memnet,"The show's first episode was aired on 17 August 2010, with its first four series broadcast on BBC Two, until its growing popularity led the BBC to move it to BBC One for the next three series.","that ' s true . the show aired on march 30 , 2002 .",0
634,dodeca,"In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.",yes ! that ' s exactly what it is ! the colonies have been in war with a cylon race for thousands of years !,0
635,memnet,"In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.","well , they have been around for a long time , since the first volume of the iron throne of the seven colonies .",0
636,dodeca,"French fries (North American English), chips (British English), finger chips (Indian English), or French-fried potatoes are ""batonnet"" or ""allumette""-cut deep-fried potatoes.","do you like french fries , chips or finger chips ?",1
637,memnet,"French fries (North American English), chips (British English), finger chips (Indian English), or French-fried potatoes are ""batonnet"" or ""allumette""-cut deep-fried potatoes.",french fries are called chips in the united states .,0
638,dodeca,"The German Society for Nutrition does not recommend vegan diets for children, adolescents nor during pregnancy and breastfeeding.",i read that veganism doesn ' t recommend it for children or pregnant women,0
639,memnet,"The German Society for Nutrition does not recommend vegan diets for children, adolescents nor during pregnancy and breastfeeding.",the german society for nutrition is not recommended for children .,0
640,dodeca,It is located on the Cumberland River in the north central part of the state.,"nashville is located in cumberland river , in north central",1
641,memnet,It is located on the Cumberland River in the north central part of the state.,nashville is located in the north part of the cumberland river .,0
642,dodeca,"In 1995 Thomas Muller designed and built a ""Fahrrad mit elektromagnetischem Antrieb"" for his 1995 diploma thesis.","well , in 1995 , he built a car called the fahrad .",0
643,memnet,"In 1995 Thomas Muller designed and built a ""Fahrrad mit elektromagnetischem Antrieb"" for his 1995 diploma thesis.","i ' m not sure , but i do know that it was designed by maria elektroley .",0
644,dodeca,"Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.",i ' ve always wanted to learn about the italian renaissance .,1
645,memnet,"Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.","have you ever heard of leonardo vinci ? he was a painter , sculptor , and director .",0
646,dodeca,"A 2016 United Nations estimate puts the total population at 38,000,000.","i ' m not sure , but i know that the 2016 u . s . nation ' s estimate is at 38 million people .",1
647,memnet,"A 2016 United Nations estimate puts the total population at 38,000,000.","i ' m not sure , but it is the largest city in the united states .",0
648,dodeca,"In several countries, especially in Scandinavia, early birds are called ""A-people"" and night owls are called ""B-people"".",in some countries early birds can be called a people or b people .,0
649,memnet,"In several countries, especially in Scandinavia, early birds are called ""A-people"" and night owls are called ""B-people"".","in scandinavia early birds are called "" b - people """,0
650,dodeca,"Portland is the most populous city in the U.S. state of Maine, with a population of 67,067 as of 2017.","yes , it ' s the most populated city in maine .",1
651,memnet,"Portland is the most populous city in the U.S. state of Maine, with a population of 67,067 as of 2017.",portland is the most populous city in the united states .,0
652,dodeca,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,i like video games that involve interaction with the user interface,1
653,memnet,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,xbox is a video game that involves interaction with a user interface to generate visual feedback,0
654,dodeca,"The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers.","i ' m not sure , but i know that there is a lot to see in the city ! there ' s 30 sky scrapers and 2 inclined railways !",1
655,memnet,"The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers.","i ' m not sure , but i do know that it consists of three inclined railways .",0
656,dodeca,He attended the Academy of Contemporary Music in Guildford as an undergraduate from the age of 18 in 2009.,"i ' m not sure , but i do know that he graduated from guil__unk__ in 2009 !",0
657,memnet,He attended the Academy of Contemporary Music in Guildford as an undergraduate from the age of 18 in 2009.,"i ' m not sure , but i know he was born in 2009 .",0
658,dodeca,"Motorola Mobility was sold to Google in 2012, and acquired by Lenovo in 2014.","i ' m not sure , but i do know that motorola was bought in 2012 by google .",1
659,memnet,"Motorola Mobility was sold to Google in 2012, and acquired by Lenovo in 2014.","i ' m not sure , but i know it was introduced in 2003 .",0
660,dodeca,"Tale Ognenovski () (April 27, 1922 - June 19, 2012) was a Macedonian multi-instrumentalist who played clarinet, recorder, tin whistle, bagpipe, zurna, and drums.",he was born in 1922 and played recorder and bagpipe .,1
661,memnet,"Tale Ognenovski () (April 27, 1922 - June 19, 2012) was a Macedonian multi-instrumentalist who played clarinet, recorder, tin whistle, bagpipe, zurna, and drums.",he is a legend . he has been around since 2014 .,0
662,dodeca,"Formed after the demise of Gossard and Ament's previous band, Mother Love Bone, Pearl Jam broke into the mainstream with its debut album, ""Ten"", in 1991.",i think they are my favorite because they were formed in 1991 and their debut album ten was released in 1991,0
663,memnet,"Formed after the demise of Gossard and Ament's previous band, Mother Love Bone, Pearl Jam broke into the mainstream with its debut album, ""Ten"", in 1991.","i like their debut album "" pearl jam "" , which was released in 2007 .",0
664,dodeca,The Kingdom of Denmark also comprises two autonomous constituent countries in the North Atlantic Ocean: the Faroe Islands and Greenland.,"i ' m not sure , but i do know that there are 2 autonomous constituent nations in the northern atlantic ocean .",1
665,memnet,The Kingdom of Denmark also comprises two autonomous constituent countries in the North Atlantic Ocean: the Faroe Islands and Greenland.,denmark is the largest country in the united kingdom .,0
666,dodeca,"The word ""haṭha"" means ""force"" in Sanskrit, and may have this association because the early Indians believed that its practice was challenging and ""forced its results to happen"" on the yogi.",what type of yoga do you teach ? hatha means force in sanskrit,1
667,memnet,"The word ""haṭha"" means ""force"" in Sanskrit, and may have this association because the early Indians believed that its practice was challenging and ""forced its results to happen"" on the yogi.","the word "" hatha "" is derived from the sanskrit word "" sanskrit """,0
668,dodeca,The ketone bodies pass into the brain and replace glucose as an energy source.,ketones are used to replace glucose in the brain,1
669,memnet,The ketone bodies pass into the brain and replace glucose as an energy source.,the diet converts energy into glucose to the brain .,0
670,dodeca,Countries such as the United States and Canada have federal regulations governing the safety requirements and standards of manufacture.,that ' s true . countries like canada and the us have regulations governing safety requirements .,1
671,memnet,Countries such as the United States and Canada have federal regulations governing the safety requirements and standards of manufacture.,"i ' m not sure , but i do know that in the united states they regulate the laws of the government .",0
672,dodeca,"Myron Scott is credited for naming the car after the type of small, maneuverable warship called a corvette.",the name of the car was named after the small warship,1
673,memnet,"Myron Scott is credited for naming the car after the type of small, maneuverable warship called a corvette.","yes , they are named after a myron scott .",0
674,dodeca,"Music notation or musical notation is any system used to visually represent aurally perceived music played with instruments or sung by the human voice through the use of written, printed, or otherwise-produced symbols.",music notation is used to visualize music played by instruments .,1
675,memnet,"Music notation or musical notation is any system used to visually represent aurally perceived music played with instruments or sung by the human voice through the use of written, printed, or otherwise-produced symbols.","i ' m not sure , but i do know that classical music is used to create musical instruments .",0
676,dodeca,"Unlike many other psychoactive substances, it is legal and unregulated in nearly all parts of the world.","well unlike other drugs , it ' s legal , unregulated , and legal all over the world !",1
677,memnet,"Unlike many other psychoactive substances, it is legal and unregulated in nearly all parts of the world.","i ' m not sure , but it is the most regulated drug in the world .",0
678,dodeca,"In the 20th century, Austin's music scene had earned the city the nickname ""Live Music Capital of the World.""",that is awesome . the music scene has been around for a long time . it has been known as the living music capital the world,1
679,memnet,"In the 20th century, Austin's music scene had earned the city the nickname ""Live Music Capital of the World.""","austin is also known as the "" live city of music """,0
680,dodeca,"During gameplay, Cortana provides backstory and tactical information to the player, who assumes the role of Master Chief Petty Officer John-117.",did you ever play the campaign where she gives backstory ?,0
681,memnet,"During gameplay, Cortana provides backstory and tactical information to the player, who assumes the role of Master Chief Petty Officer John-117.","yeah , it ' s crazy how old it was . it was created by the owner of the galaxy .",0
682,dodeca,The original screenplay was written by Sidney Howard and underwent many revisions by several writers in an attempt to get it down to a suitable length.,the original screenwriter was sidney howard who wrote the screenplay,1
683,memnet,The original screenplay was written by Sidney Howard and underwent many revisions by several writers in an attempt to get it down to a suitable length.,"i ' m not sure , but i do know that it was created by edward howard and joseph .",0
684,dodeca,They can see in near darkness.,i didn ' t know that ! they can also see in very near darkness !,1
685,memnet,They can see in near darkness.,cats can see in near darkness . they can also see in darkness .,0
686,dodeca,"The Coca-Cola Company produces concentrate, which is then sold to licensed Coca-Cola bottlers throughout the world.",i didn ' t know that . the coca cola company makes concentrate and sells it to licensed bottlers,1
687,memnet,"The Coca-Cola Company produces concentrate, which is then sold to licensed Coca-Cola bottlers throughout the world.","i ' ve never heard of that , but i do know that coca cola is owned by pepsico .",0
688,dodeca,The Miami metropolitan area is Florida's most populous urban area.,"i don ' t know a lot about miami , but i know that it ' s the most populated urban area in florida .",1
689,memnet,The Miami metropolitan area is Florida's most populous urban area.,"i ' m not sure , but miami is the most populous urban area in the us .",0
690,dodeca,"In 2002, Hawking was ranked number 25 in the BBC's poll of the 100 Greatest Britons.",he was number 25 on the bbc poll in 2002,1
691,memnet,"In 2002, Hawking was ranked number 25 in the BBC's poll of the 100 Greatest Britons.",he was also ranked as the greatest novelist of all time .,0
692,dodeca,"The Boxer is a medium-sized, short-haired breed of dog, developed in Germany.","that ' s awesome ! i ' ve always wanted a dog , but i ' m not sure i ' d ever get one . they were originally bred in germany , but they ' ve come a long way since then .",1
693,memnet,"The Boxer is a medium-sized, short-haired breed of dog, developed in Germany.",do you have a german shepherd ? they are medium sized dogs from germany .,0
694,dodeca,Cheesecake is a sweet dessert consisting of one or more layers.,i usually eat it every day . it is so sweet .,1
695,memnet,Cheesecake is a sweet dessert consisting of one or more layers.,i ' m not sure but i do know that cheesecake is one of the layers of dessert .,0
696,dodeca,"In the United States and some parts of Canada, ""pudding"" characteristically denotes a sweet milk-based dessert similar in consistency to egg-based custards, instant custards or a mousse, often commercially set using cornstarch, gelatin or similar collagen agent such as the Jell‑O brand line of products.",well in the us and canada it is called pudding,1
697,memnet,"In the United States and some parts of Canada, ""pudding"" characteristically denotes a sweet milk-based dessert similar in consistency to egg-based custards, instant custards or a mousse, often commercially set using cornstarch, gelatin or similar collagen agent such as the Jell‑O brand line of products.","i ' m not sure , but i do know it ' s called biscuits in the united states .",0
698,dodeca,"Robert Nesta Marley, OM (6 February 1945 – 11 May 1981) was a Jamaican singer-songwriter who became an international musical and cultural icon, blending mostly reggae, ska and rocksteady in his compositions.",bob marley is one of my favorite jamaican singers .,1
699,memnet,"Robert Nesta Marley, OM (6 February 1945 – 11 May 1981) was a Jamaican singer-songwriter who became an international musical and cultural icon, blending mostly reggae, ska and rocksteady in his compositions.",he is a great rapper . he was an english singer and songwriter .,0
700,dodeca,"They used driftwood and sometimes the skeleton of whale, to construct the frame of the kayak, and animal skin, particularly seal skin was used to create the body.",well they used whale skeleton and whale skeleton to construct frame of kayak,0
701,memnet,"They used driftwood and sometimes the skeleton of whale, to construct the frame of the kayak, and animal skin, particularly seal skin was used to create the body.","i ' m not sure , but i do know that kayaks were used in egyptian tombs .",0
702,dodeca,Two separate breeds are recognized: the Pembroke Welsh Corgi and the Cardigan Welsh Corgi.,"i ' m not sure , but there are two different breeds of corgis .",1
703,memnet,Two separate breeds are recognized: the Pembroke Welsh Corgi and the Cardigan Welsh Corgi.,"i ' m not sure , but the pembroke welsh corgi is the cardigan .",0
704,dodeca,"In 2014, they were the fourth most popular registered dog in the United Kingdom and in the U.S. the sixth most popular AKC registered dog breed.",they are the 4th most popular breed in the uk .,1
705,memnet,"In 2014, they were the fourth most popular registered dog in the United Kingdom and in the U.S. the sixth most popular AKC registered dog breed.",they are the second most popular dog in 2014 .,0
706,dodeca,"In many cases, the activities that may be undertaken by a veterinarian (such as treatment of illness or surgery in animals) are restricted only to those professionals who are registered as a veterinarian.",i wanted to help with treatment of animals such as surgery .,1
707,memnet,"In many cases, the activities that may be undertaken by a veterinarian (such as treatment of illness or surgery in animals) are restricted only to those professionals who are registered as a veterinarian.","i ' m not sure , but i do know that it ' s often used to be restricted to the treatment of animals .",0
708,dodeca,"The illusion of a moving Sun results from Earth observers being in a rotating reference frame; this apparent motion is so convincing that most cultures had mythologies and religions built around the geocentric model, which prevailed until astronomer Nicolaus Copernicus first formulated the heliocentric model in the 16th century.",i ' m not really sure but i do know that religions and mythos have been around for a long time .,1
709,memnet,"The illusion of a moving Sun results from Earth observers being in a rotating reference frame; this apparent motion is so convincing that most cultures had mythologies and religions built around the geocentric model, which prevailed until astronomer Nicolaus Copernicus first formulated the heliocentric model in the 16th century.","i ' m not sure , but i do know that the illusion of the earth has been around since the 15th century .",0
710,dodeca,"Dust mites are microscopic arachnids whose primary food is dead human skin cells, but they do not live on living people.","i don ' t think there ' s a "" best "" way - it ' s all up to you . i ' m sure there are a lot of different ways .",1
711,memnet,"Dust mites are microscopic arachnids whose primary food is dead human skin cells, but they do not live on living people.","i ' m not sure , but i do know that dust cells are largely found in human life .",0
712,dodeca,"It has wholly owned operations in Argentina, Chile, Brazil, and Canada.",yes there is . walmart has owned operations all over the world .,0
713,memnet,"It has wholly owned operations in Argentina, Chile, Brazil, and Canada.","i ' m not sure , but walmart is also owned by brazil and chile .",0
714,dodeca,"Rooted in skiffle, beat and 1950s rock and roll, the Beatles later experimented with several musical styles, ranging from pop ballads and Indian music to psychedelia and hard rock, often incorporating classical elements and unconventional recording techniques in innovative ways.","i ' m not sure , but i know they experimented with various musical styles .",1
715,memnet,"Rooted in skiffle, beat and 1950s rock and roll, the Beatles later experimented with several musical styles, ranging from pop ballads and Indian music to psychedelia and hard rock, often incorporating classical elements and unconventional recording techniques in innovative ways.","i ' m not sure , but i do know that they experimented with several styles of rock and roll .",0
716,dodeca,"Eighty percent of Greece is mountainous, with Mount Olympus being the highest peak at .","well , it ' s one of the most mountainous countries in the world .",1
717,memnet,"Eighty percent of Greece is mountainous, with Mount Olympus being the highest peak at .",it ' s a great place to visit . greece is the highest mountain in greece .,0
718,dodeca,An orc (also spelled as ork) is a fictional humanoid creature that is part of a fantasy race akin to goblins.,i love playing as orcs . they are fictional humanoids .,1
719,memnet,An orc (also spelled as ork) is a fictional humanoid creature that is part of a fantasy race akin to goblins.,have you ever played the lord of the rings ? it ' s a fictional humanoid creature .,0
720,dodeca,"While the overall concept of orcs draws on a variety of pre-existing mythology, the main conception of the creatures stems from the fantasy writings of J. R. R. Tolkien, in particular ""The Lord of the Rings"".","i ' m not sure about everquest , but i do know that orcs have a lot of pre existing mythology .",1
721,memnet,"While the overall concept of orcs draws on a variety of pre-existing mythology, the main conception of the creatures stems from the fantasy writings of J. R. R. Tolkien, in particular ""The Lord of the Rings"".","i am not sure , but i do know that orcs are based on the lord of the rings .",0
722,dodeca,"Although the month and date of Jesus' birth are unknown, by the early-to-mid fourth century the Western Christian Church had placed Christmas on December 25, a date that was later adopted in the East.",i spend it with my family . the date of the birth is unknown .,1
723,memnet,"Although the month and date of Jesus' birth are unknown, by the early-to-mid fourth century the Western Christian Church had placed Christmas on December 25, a date that was later adopted in the East.","i am not sure , but i do know that jesus was born in december 1989",0
724,dodeca,"The tower is tall, about the same height as an 81- building, and the tallest structure in Paris.",i am not sure but i know it is tall . it is 81 stories tall .,1
725,memnet,"The tower is tall, about the same height as an 81- building, and the tallest structure in Paris.","yes , it is the tallest tower in the world .",0
726,dodeca,Lizards range in size from chameleons and geckos a few centimeters long to the 3 meter long Komodo dragon.,i would recommend a chameleon or gecko .,1
727,memnet,Lizards range in size from chameleons and geckos a few centimeters long to the 3 meter long Komodo dragon.,i have a pet iguana . they range in size from chameleons to a few centimeters long .,0
728,dodeca,"Since its inception, the daily syndicated version has featured Alex Trebek as host and Johnny Gilbert as announcer.","i didn ' t win , but i did get to see johnny gilbert on the show .",1
729,memnet,"Since its inception, the daily syndicated version has featured Alex Trebek as host and Johnny Gilbert as announcer.","no i haven ' t , but i do know that jeopardy has been around since the 1920s .",0
730,dodeca,"In 2010, ""Forbes"" rated Syracuse fourth in the top 10 places in the U.S. to raise a family.","well , in 2010 forbes rated syracuse as the fourth best city in the us ! i think that ' s pretty cool !",1
731,memnet,"In 2010, ""Forbes"" rated Syracuse fourth in the top 10 places in the U.S. to raise a family.",new york city is the fourth most visited city in the us .,0
732,dodeca,The plant was exported from Africa to countries around the world.,"yes , it was exported to africa to make coffee",0
733,memnet,The plant was exported from Africa to countries around the world.,well the plant was exported from africa to africa .,0
734,dodeca,"Shift work is an employment practice designed to make use of, or provide service across, all 24 hours of the clock each day of the week (often abbreviated as ""24/7"").",that ' s great ! it ' s a great way to provide services across the clock .,1
735,memnet,"Shift work is an employment practice designed to make use of, or provide service across, all 24 hours of the clock each day of the week (often abbreviated as ""24/7"").",that ' s awesome ! i ' ve been working on the clock for 10 hours .,0
736,dodeca,"Lipton was born in a tenement in Crown Street, Glasgow on 10 May 1848.",im not sure but i know he was born on the 10th of may 1848,1
737,memnet,"Lipton was born in a tenement in Crown Street, Glasgow on 10 May 1848.","i ' m not sure , but i do know that it originated in michigan .",0
738,dodeca,A person must state the reason they want a divorce at a divorce trial and be able to prove that this reason is well-founded.,you need to state your reason for the divorce .,1
739,memnet,A person must state the reason they want a divorce at a divorce trial and be able to prove that this reason is well-founded.,that ' s true . divorce is also known as a dissolution of divorce .,0
740,dodeca,"Legless lizards resemble snakes, but several common groups of legless lizards have eyelids and external ears, which snakes lack, although this rule is not universal (see Amphisbaenia, Dibamidae, and Pygopodidae).","i ' m glad you don ' t have to worry about them , since they resemble snakes .",0
741,memnet,"Legless lizards resemble snakes, but several common groups of legless lizards have eyelids and external ears, which snakes lack, although this rule is not universal (see Amphisbaenia, Dibamidae, and Pygopodidae).","i ' ve never heard of them , but i do know that snakes have eyelids and external ears .",0
742,dodeca,"Presbyterianism is a part of the Reformed tradition within Protestantism which traces its origins to the British Isles, particularly Scotland.",i don ' t think i ' ve ever been to a convention . i ' m more of a reformed baptist myself .,1
743,memnet,"Presbyterianism is a part of the Reformed tradition within Protestantism which traces its origins to the British Isles, particularly Scotland.","i ' m not sure , but i do know that it ' s a part of the irish ancestry .",0
744,dodeca,"The word ""Southern"" in Southern Baptist Convention stems from it having been organized in 1845 at Augusta, Georgia, by Baptists in the Southern United States who split with northern Baptists over the issue of slavery, specifically whether Southern slave owners could serve as missionaries.","that ' s right , they were against slavery .",0
745,memnet,"The word ""Southern"" in Southern Baptist Convention stems from it having been organized in 1845 at Augusta, Georgia, by Baptists in the Southern United States who split with northern Baptists over the issue of slavery, specifically whether Southern slave owners could serve as missionaries.","i am not sure but i do know that the term "" slave "" originated in 1845 in augusta , georgia .",0
746,dodeca,The Chronicles of Thomas Covenant is a series of ten high fantasy novels written by American author Stephen R. Donaldson.,have you read any of the high fantasy books ?,1
747,memnet,The Chronicles of Thomas Covenant is a series of ten high fantasy novels written by American author Stephen R. Donaldson.,have you read the american fantasy novel by stephen king ?,0
748,dodeca,The capital and largest city is Reykjavík.,"i would recommend going to the capital of iceland , the largest city .",1
749,memnet,The capital and largest city is Reykjavík.,it is the capital and largest city in reykjavik .,0
750,dodeca,"As of 2013, it was syndicated in roughly 2,580 newspapers and journals, and held the Guinness World Record for being the world's most widely syndicated comic strip.",yes they do . it is syndicated in about 2 . 580 papers and journals .,1
751,memnet,"As of 2013, it was syndicated in roughly 2,580 newspapers and journals, and held the Guinness World Record for being the world's most widely syndicated comic strip.","i ' m not sure , but i do know that they have won over 100 million records worldwide .",0
752,dodeca,"Osteopathic doctors (D.O.s) can become fully licensed physicians (medical doctors) able to practice medicine and surgery in all 50 states and are recognized in 65 other countries, including all Canadian provinces.",i know that they can be fully licensed doctors .,1
753,memnet,"Osteopathic doctors (D.O.s) can become fully licensed physicians (medical doctors) able to practice medicine and surgery in all 50 states and are recognized in 65 other countries, including all Canadian provinces.","i am not sure , but i do know that osteopathic medicine is also known as medicine .",0
754,dodeca,"The term ""hyperpolyglot"" was coined in 2008 by linguist Richard Hudson to describe individuals who speak–to some degree–dozens of languages.",the term was coined by richard hudson in 2008 .,1
755,memnet,"The term ""hyperpolyglot"" was coined in 2008 by linguist Richard Hudson to describe individuals who speak–to some degree–dozens of languages.","i ' m not sure , but i do know that the term "" polypolyamorous "" was coined by the 20th century .",0
756,dodeca,"The garden strawberry (or simply strawberry; Fragaria × ananassa) is a widely grown hybrid species of the genus ""Fragaria"", collectively known as the strawberries.",i love them too ! they are a hybrid species .,1
757,memnet,"The garden strawberry (or simply strawberry; Fragaria × ananassa) is a widely grown hybrid species of the genus ""Fragaria"", collectively known as the strawberries.",strawberries are the most widely grown species in the genus rosa .,0
758,dodeca,"The garden strawberry was first bred in Brittany, France, in the 1750s via a cross of ""Fragaria virginiana"" from eastern North America and ""Fragaria chiloensis"", which was brought from Chile by Amédée-François Frézier in 1714.",the strawberry was originally bred in briton france in 1750s .,0
759,memnet,"The garden strawberry was first bred in Brittany, France, in the 1750s via a cross of ""Fragaria virginiana"" from eastern North America and ""Fragaria chiloensis"", which was brought from Chile by Amédée-François Frézier in 1714.",it originated in france in 1768 in france .,0
760,dodeca,"The Marvel branding began 1961, the year that the company launched ""The Fantastic Four"" and other superhero titles created by Stan Lee, Jack Kirby, Steve Ditko, and many others.","i ' m not sure who the first one was , but i do know that the marvel brand began in 1961 .",1
761,memnet,"The Marvel branding began 1961, the year that the company launched ""The Fantastic Four"" and other superhero titles created by Stan Lee, Jack Kirby, Steve Ditko, and many others.","i don ' t know much about marvel comics , but i do know that they were created by stan lee and steve jobs .",0
762,dodeca,"Various other effects are also attributed to his ability to control the speed of molecular vibrations, including his ability to vibrate at speed to pass through objects.",he also has a vibrator that he can use to control his speed .,0
